Step,Action_Index,Indoor_Temp,Indoor_RH,Indoor_CO2,Outdoor_Temp,Outdoor_RH,Hour,AC_Status,Fan_Status,Next_Indoor_Temp,Next_Indoor_RH,Next_Indoor_CO2,Reward
52,21,22.696589,57.31087,444.78394,18.0,94.0,4.0,1.0,0.0,23.614563,54.74469,431.52924,-56.115
53,3,23.614563,54.74469,431.52924,17.0,100.0,5.0,1.0,1.0,23.440258,54.31765,457.01038,-52.2
54,2,23.440258,54.31765,457.01038,17.0,100.0,6.0,1.0,0.0,23.13025,54.79704,483.23233,-52.2
55,4,23.13025,54.79704,483.23233,16.0,100.0,7.0,1.0,0.0,22.984741,57.183342,509.9723,-52.2
56,11,22.984741,57.183342,509.9723,18.0,94.0,8.0,1.0,0.0,24.424547,53.05587,561.88306,-52.2
57,8,24.424547,53.05587,561.88306,18.0,94.0,9.0,1.0,0.0,25.05284,50.75731,610.568,-52.2
58,11,25.05284,50.75731,610.568,20.0,83.0,10.0,1.0,0.0,25.552572,50.919456,665.0222,-52.2
59,12,25.552572,50.919456,665.0222,21.0,78.0,11.0,1.0,0.0,25.76515,51.120945,540.97437,-3.915
60,19,25.76515,51.120945,540.97437,22.0,73.0,12.0,0.0,1.0,25.909826,49.600357,487.78598,-56.115
61,17,25.909826,49.600357,487.78598,23.0,69.0,13.0,1.0,1.0,25.807158,50.05906,462.86353,-56.115
62,0,25.807158,50.05906,462.86353,25.0,61.0,14.0,1.0,1.0,25.14783,51.90281,514.5209,0.0
63,22,25.14783,51.90281,514.5209,25.0,61.0,15.0,0.0,0.0,24.650002,52.69497,474.89423,-56.115
64,2,24.650002,52.69497,474.89423,24.0,65.0,16.0,1.0,1.0,22.762836,52.690018,530.9051,-52.2
65,9,22.762836,52.690018,530.9051,24.0,65.0,17.0,1.0,0.0,24.45764,54.251858,585.0107,-52.2
66,17,24.45764,54.251858,585.0107,23.0,69.0,18.0,1.0,0.0,24.471378,55.34721,493.3515,-56.115
67,3,24.471378,55.34721,493.3515,23.0,73.0,19.0,1.0,1.0,23.707867,54.5932,516.0034,-52.2
68,23,23.707867,54.5932,516.0034,22.0,78.0,20.0,1.0,0.0,24.61783,51.66491,462.8164,-56.115
69,14,24.61783,51.66491,462.8164,21.0,83.0,21.0,1.0,1.0,23.801878,51.542973,438.1021,-56.115
70,16,23.801878,51.542973,438.1021,21.0,73.0,22.0,1.0,1.0,23.82505,52.95464,428.80597,-56.115
71,19,23.82505,52.95464,428.80597,21.0,73.0,23.0,1.0,1.0,24.671339,54.03944,424.6036,-56.115
72,17,24.671339,54.03944,424.6036,20.0,83.0,0.0,1.0,1.0,24.569693,56.912228,422.89838,-56.115
73,21,24.569693,56.912228,422.89838,20.0,83.0,1.0,1.0,1.0,24.801025,57.024136,422.29614,-56.115
74,15,24.801025,57.024136,422.29614,20.0,83.0,2.0,1.0,1.0,23.928734,55.725155,422.02512,-56.115
75,8,23.928734,55.725155,422.02512,19.0,88.0,3.0,1.0,1.0,24.502272,55.20663,448.6737,-52.2
76,11,24.502272,55.20663,448.6737,18.0,94.0,4.0,1.0,0.0,25.235851,53.320312,473.18756,-52.2
77,17,25.235851,53.320312,473.18756,18.0,100.0,5.0,1.0,0.0,25.101019,54.89069,442.86877,-56.115
78,8,25.101019,54.89069,442.86877,18.0,100.0,6.0,1.0,1.0,25.561722,51.99115,469.0089,-52.2
79,2,25.561722,51.99115,469.0089,19.0,94.0,7.0,1.0,0.0,23.638832,51.382874,491.58716,-52.2
80,15,23.638832,51.382874,491.58716,19.0,94.0,8.0,1.0,0.0,23.311533,50.897568,464.57407,-56.115
81,21,23.311533,50.897568,464.57407,20.0,88.0,9.0,1.0,1.0,23.885475,50.69972,452.4055,-56.115
82,6,23.885475,50.69972,452.4055,21.0,83.0,10.0,1.0,1.0,24.026665,49.14873,506.01138,-52.2
83,5,24.026665,49.14873,506.01138,22.0,78.0,11.0,1.0,0.0,24.04156,50.386127,557.9221,-52.2
84,7,24.04156,50.386127,557.9221,24.0,74.0,12.0,1.0,0.0,24.290823,50.661335,606.60706,-52.2
85,18,24.290823,50.661335,606.60706,24.0,69.0,13.0,1.0,0.0,24.551922,50.501385,517.47754,-56.115
86,14,24.551922,50.501385,517.47754,24.0,69.0,14.0,1.0,1.0,23.653528,49.450985,476.22473,-56.115
87,14,23.653528,49.450985,476.22473,25.0,65.0,15.0,1.0,1.0,23.377598,48.390804,457.8772,-56.115
88,4,23.377598,48.390804,457.8772,25.0,65.0,16.0,1.0,1.0,23.355497,49.971767,509.4804,-52.2
89,10,23.355497,49.971767,509.4804,24.0,69.0,17.0,1.0,0.0,24.135578,52.35262,561.3912,-52.2
90,20,24.135578,52.35262,561.3912,22.0,78.0,18.0,1.0,0.0,24.562998,52.479992,481.54913,-56.115
91,23,24.562998,52.479992,481.54913,22.0,83.0,19.0,1.0,1.0,24.782797,50.182034,446.76126,-56.115
92,3,24.782797,50.182034,446.76126,22.0,83.0,20.0,1.0,1.0,23.928051,48.357887,471.90015,-52.2
93,5,23.928051,48.357887,471.90015,21.0,88.0,21.0,1.0,0.0,24.036612,56.67447,494.4784,-52.2
94,8,24.036612,56.67447,494.4784,20.0,88.0,22.0,1.0,0.0,24.60285,52.26101,517.1303,-52.2
95,2,24.60285,52.26101,517.1303,20.0,94.0,23.0,1.0,0.0,23.815086,54.71434,540.2472,-52.2
96,11,23.815086,54.71434,540.2472,20.0,94.0,0.0,1.0,0.0,24.706898,54.590626,565.49695,-52.2
97,3,24.706898,54.590626,565.49695,20.0,94.0,1.0,1.0,0.0,24.121834,54.844048,585.3261,-52.2
98,5,24.121834,54.844048,585.3261,19.0,100.0,2.0,1.0,0.0,23.980175,56.768272,607.76324,-52.2
99,3,23.980175,56.768272,607.76324,20.0,94.0,3.0,1.0,0.0,23.69835,57.197876,632.9953,-52.2
100,8,23.69835,57.197876,632.9953,20.0,94.0,4.0,1.0,0.0,24.503979,56.005203,657.4867,-52.2
101,23,24.503979,56.005203,657.4867,20.0,94.0,5.0,1.0,0.0,25.169418,52.34291,523.65485,-56.115
102,3,25.169418,52.34291,523.65485,20.0,94.0,6.0,1.0,1.0,24.036282,50.34218,546.70984,-52.2
103,2,24.036282,50.34218,546.70984,20.0,94.0,7.0,1.0,0.0,23.764603,51.474815,571.9596,-52.2
104,8,23.764603,51.474815,571.9596,20.0,94.0,8.0,1.0,0.0,24.80317,49.32437,620.64453,-52.2
105,3,24.80317,49.32437,620.64453,21.0,94.0,9.0,1.0,0.0,23.975512,46.63188,674.3581,-52.2
106,4,23.975512,46.63188,674.3581,22.0,83.0,10.0,1.0,0.0,23.681135,47.75688,722.4772,-52.2
107,0,23.681135,47.75688,722.4772,23.0,78.0,11.0,1.0,0.0,23.912214,48.11275,765.08954,0.0
